S.No,e-publish Date,Bid Submission Closing Date,Tender Opening Date,Title and Ref.No./Tender ID,Organisation Chain,Reference Link
385.,17-Aug-2023 03:00 PM.,25-Aug-2023 05:00 PM,28-Aug-2023 03:00 PM,"[Supply of different type of potted plants at Savitri Nursery, GK-II (Ward No. 171), South Zone for various location G-20 Summit. ]  [DDH/SZ/ MCD/2023-24/ NIT No.19][2023_MCD_164651_2]",Municipal Corporation of Delhi||Horticulture Department - MCD,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=Su0g99Olw9qSP8oe4F%2Fl8TQ%3D%3D
386.,17-Aug-2023 02:30 PM.,24-Aug-2023 02:45 PM,26-Aug-2023 10:00 AM,"[Construction of Plinth Protection, hard standing and surface drain around the plant house bldg. of AMK/PO3 inside factory at O.F.Bhandara.]  [No.EO/51/ND2314/BF][2023_MIL_164686_1]",Munitions India Limited||Ordnance Factory Bhandara Bhandara Maharashtra,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=S2Yb7kh7UjSlTCyVW9333pA%3D%3D
387.,17-Aug-2023 01:00 PM.,25-Aug-2023 10:00 AM,25-Aug-2023 10:00 AM,[Electrical Work]  [MCD/TR/3942/2023_6_1_1/1][2023_MCD_164689_1],Municipal Corporation of Delhi||Engineering - MCD||Electrical - MCD,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=StINxvBTyXRjZynupkkBKZw%3D%3D
388.,19-Aug-2023 12:15 PM.,09-Sep-2023 06:00 PM,11-Sep-2023 09:00 AM,[Repairs to Road Shoulders and Approach Paths in Type-V area in OFMK.]  [76025/TE-33/OFMK/EOC/RSP/23-24][2023_AVNL_164613_1],Armoured Vehicles Nigam Limited||Ordnance Factory Medak-Yeddumailaram,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=Seu1wB3pgP%2F1C6j4D7w%2Br9A%3D%3D
389.,17-Aug-2023 01:00 PM.,25-Aug-2023 10:00 AM,25-Aug-2023 10:00 AM,[Electrical Work-CSPZ]  [MCD/TR/3947/2023_6_1_1/1][2023_MCD_164691_1],Municipal Corporation of Delhi||Engineering - MCD||Electrical - MCD,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=S9GulZMEmLv3WZn4c2MzeAw%3D%3D
390.,17-Aug-2023 01:00 PM.,25-Aug-2023 10:00 AM,25-Aug-2023 10:00 AM,[Specialized Electrical Work-CSPZ]  [MCD/TR/4084/2023_6_1_1/1][2023_MCD_164694_1],Municipal Corporation of Delhi||Engineering - MCD||Electrical - MCD,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SCAbS8r5LjZ8oml36l1mD8A%3D%3D
391.,17-Aug-2023 01:00 PM.,25-Aug-2023 10:00 AM,25-Aug-2023 10:00 AM,[Specialized Electrical Work-CSPZ]  [MCD/TR/4084/2023_6_1_1/1][2023_MCD_164694_1],Municipal Corporation of Delhi||Engineering - MCD||Electrical - MCD,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SCAbS8r5LjZ8oml36l1mD8A%3D%3D
392.,27-Jul-2023 06:00 PM.,24-Aug-2023 04:00 PM,25-Aug-2023 04:30 PM,"[License for Operating SPA and Wellness Centre at SHA in NITB, MBB Airport, Agartala]  [AAI/ AT/ COMML/ ER - 147 (SPA)/ 2023-24][2023_AAI_162502_1]",Airports Authority of India||CHQ - AAI||Commercial - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=S0f3Qgjq1NzilwKXHxrP%2FEw%3D%3D
393.,17-Aug-2023 12:00 PM.,29-Aug-2023 03:00 PM,30-Aug-2023 04:00 PM,[Comp Mtce of 8 Psgr lift at TE RAILWAYPURA]  [33/EEE(AHD)/BSNL/2023-24][2023_BSNL_164696_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Gujarat Telecom Circle||CE (Electrical),https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=S6gwRszscWrxD73uSam2i9w%3D%3D
394.,17-Aug-2023 04:30 PM.,20-Sep-2023 03:00 PM,21-Sep-2023 03:30 PM,[CECRI 2023 13491-PILOT PLANT FOR THE PRODUCTION OF ADSORBENT POWER MATERIAL TURNKEY BASIS ]  [CECRI 2023 13491-PILOT PLANT FOR ADSORBENT POWER ][2023_CSIR_164771_1],Council of Scientific and Industrial Research||CECRI-Karaikudi - CSIR||Purchase-CECRI - CSIR,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=S0aYqLPti6S0PUZFhcKR4Sg%3D%3D
395.,17-Aug-2023 02:30 PM.,24-Aug-2023 02:45 PM,26-Aug-2023 10:00 AM,[Construction of retaining wall and soil filling at utility house for bldg. No. AMK/PO3 inside factory at O.F.Bhandara.]  [No.EO/51/ND2315/BF][2023_MIL_164697_1],Munitions India Limited||Ordnance Factory Bhandara Bhandara Maharashtra,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SgOOrNa%2BGxxKNFQq%2F%2B908Xg%3D%3D
396.,17-Aug-2023 02:00 PM.,31-Aug-2023 03:00 PM,01-Sep-2023 03:00 PM,[TMPL/RC/CONE CRUSHER SPARES/86]  [TMPL/RC/CONE CRUSHER SPARES/86][2023_UCIL_164699_1],Uranium Corporation of India Limited||Purchase Department-Tummalapalle - UCIL||Purchase Department-Tummalapalle - UCIL,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SfEDDhf4cEMAfArDEzk5pkQ%3D%3D
397.,18-Aug-2023 10:00 AM.,31-Aug-2023 03:00 PM,01-Sep-2023 03:30 PM,[Renovation of Publication Store at CSIR NIScPR Campus at Pusa New Delhi]  [11(21)/NIScPR/G/2023][2023_CSIR_164766_1],Council of Scientific and Industrial Research||NIScPR-Delhi-CSIR||Administration - NIScPR - CSIR,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SFPst%2BA450k3hrCMl4Urp1g%3D%3D
398.,17-Aug-2023 04:30 PM.,29-Aug-2023 06:00 PM,31-Aug-2023 02:00 PM,[ 13/EE(E)/I/BSNL/JMU/23-24]  [13/EE(E)/I/BSNL/JMU/23-24 ][2023_BSNL_164770_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Jammu and Kashmir Telecom Circle||O/o CGMT, Jammu and Kashmir, Jammu",https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=S0yB%2F6VGvFgTsSd5S6mKKOQ%3D%3D
399.,17-Aug-2023 04:00 PM.,07-Sep-2023 06:00 PM,08-Sep-2023 06:00 PM,[Operation of 02 nos Existing Passenger boarding bridges of Bukaka make and 02 nos AVDGS of Safegate make at Pune Airport during 2023 2026]  [AAI/Pune/E-E/PBB/ops/2023-24][2023_AAI_164224_1],Airports Authority of India||Southern Region - AAI||BELAGAVI - AAI||ENGG ELECT_VOBM - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=S%2Bc%2FpLLIZmgTeGYx0dJ%2Bg1w%3D%3D
400.,17-Aug-2023 04:30 PM.,13-Sep-2023 03:00 PM,14-Sep-2023 03:30 PM,[CECRI 2023 1277- 1.5 TON AC WITH 4KVA STABILIZER]  [CECRI 2023 1277- 1.5 TON AC WITH 4KVA STABILIZER][2023_CSIR_164784_1],Council of Scientific and Industrial Research||CECRI-Karaikudi - CSIR||Purchase-CECRI - CSIR,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SjNcHMO7YExm1dKKxlYDkTw%3D%3D
401.,17-Aug-2023 01:00 PM.,25-Aug-2023 10:00 AM,25-Aug-2023 10:00 AM,[Electrical Work-CSPZ]  [MCD/TR/3941/2023_6_1_1/1][2023_MCD_164688_1],Municipal Corporation of Delhi||Engineering - MCD||Electrical - MCD,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=Sl2ybgCYVKmwRjuwf0ETMaQ%3D%3D
402.,17-Aug-2023 04:30 PM.,29-Aug-2023 06:00 PM,31-Aug-2023 02:00 PM,[ 13/EE(E)/I/BSNL/JMU/23-24]  [13/EE(E)/I/BSNL/JMU/23-24 ][2023_BSNL_164770_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Jammu and Kashmir Telecom Circle||O/o CGMT, Jammu and Kashmir, Jammu",https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=S0yB%2F6VGvFgTsSd5S6mKKOQ%3D%3D
403.,17-Aug-2023 04:30 PM.,13-Sep-2023 03:00 PM,14-Sep-2023 03:30 PM,[CECRI 2023 1277- 1.5 TON AC WITH 4KVA STABILIZER]  [CECRI 2023 1277- 1.5 TON AC WITH 4KVA STABILIZER][2023_CSIR_164784_1],Council of Scientific and Industrial Research||CECRI-Karaikudi - CSIR||Purchase-CECRI - CSIR,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SjNcHMO7YExm1dKKxlYDkTw%3D%3D
404.,16-Aug-2023 06:00 PM.,29-Aug-2023 06:15 PM,31-Aug-2023 10:00 AM,"[Provision of inside building toilet works, floor finishing works, joinery works, bricks work, plaster work etc. and water proofing treatment of roof of building no.AMK-PO3 utility house inside factory at O. F. Bhandara.]  [No.EO/51/ND2313/BF][2023_MIL_164666_1]",Munitions India Limited||Ordnance Factory Bhandara Bhandara Maharashtra,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SDP8hQ8CRBeVBg3XaWihh7g%3D%3D
405.,17-Aug-2023 06:00 PM.,24-Aug-2023 03:00 PM,24-Aug-2023 03:30 PM,"[Supply and stacking of Manhole set, G.T Set, Stone aggregate (10mm), dust, Stone agg, 10mm, coarse sand and RCC slab at Mpl. Store in Tughlakabad ward No. 178/CNZ ]  [EE(M)-III/CNZ/TC/2023-24/09-04][2023_SDMC_164817_1]",South Delhi Municipal Corporation||Enigeering Electric - SDMC,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SrRYcCrLDUhxqQBQdva99Rw%3D%3D
406.,17-Aug-2023 12:00 PM.,26-Aug-2023 04:00 PM,31-Aug-2023 03:30 PM,[9/BSNL/CD-SLG/23-24]  [9/BSNL/CD-SLG/23-24 ][2023_BSNL_164657_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||West Bengal Telecom Circle||CE (Civil),https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SOFMIk0ZCOzuYG%2F2SMF6BsQ%3D%3D
407.,17-Aug-2023 06:00 PM.,26-Aug-2023 03:00 PM,28-Aug-2023 03:00 PM,"[Civil and Electrical work for the extension of AMRIT Pharmacy at AIIMS, Bibinagar, Telengana]  [HLL/CHO/PROJ/RBD/AMRIT /BBNR][2023_HLL_164814_1]",HLL Lifecare Limited||Corporate Head Office (Thiruvananthapuram) - HLL,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SdqKuGXVRevNme2eTJJBV5Q%3D%3D
408.,17-Aug-2023 06:00 PM.,15-Sep-2023 05:30 PM,16-Sep-2023 05:30 PM,[Replacement of existing RCC Hand Railings with RCC Crash Barriers on Nagpur to Hyderabad section of National Highway No.44 and Kalyan to Nirmal section of National Highway No.61 in the state of Telangana (3rd Call).]  [NHAI/PIU-KMR/RCC Crash Barrier/2023][2023_NHAI_164824_1],National Highways Authority of India||RO-Hyderabad - NHAI||Nirmal - NHAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=S38SNjetpscrMeLATfPiizA%3D%3D
409.,17-Aug-2023 03:00 PM.,25-Aug-2023 05:00 PM,28-Aug-2023 03:00 PM,[Supply of different Plastic Pots and Earthen Pot for Savitri Nursery under (Ward No. 171 ) South Zone.]  [DDH/SZ/ MCD/2023-24/ NIT No.19][2023_MCD_164651_1],Municipal Corporation of Delhi||Horticulture Department - MCD,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=See3sLHEUMb2FscfxVoHPZw%3D%3D
410.,17-Aug-2023 06:00 PM.,26-Aug-2023 03:00 PM,28-Aug-2023 03:00 PM,"[Turnkey works for setting up of New AMRIT Pharmacy at AIIMS Raipur, Chhattisgarh]  [HLL/CHO/PROJ/RBD/AMRIT/RAIPUR][2023_HLL_164828_1]",HLL Lifecare Limited||Corporate Head Office (Thiruvananthapuram) - HLL,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=Sj5KuFdaIfkZC2bgGiv7Jmw%3D%3D
411.,17-Aug-2023 06:55 PM.,14-Sep-2023 11:00 AM,15-Sep-2023 11:30 AM,[Rehabilitation and up-gradation of existing 2 lane with paved shoulder of Jhajjar-Loharu Section from Km 130.770 to Km 228.630 (Design Chainage 0.000 to 97.864) Length 97.864 of NH-334B in the State of Haryana]  [NHAI/RO-CHD/11076/Safety Consultant/RFP][2023_NHAI_164832_1],National Highways Authority of India||RO-Chandigarh - NHAI||Jalandhar - NHAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SeVuSBeWcI8AQsM0taP8r6w%3D%3D
412.,17-Aug-2023 12:40 PM.,30-Aug-2023 03:00 PM,31-Aug-2023 03:30 PM,[Flash butt welding of UIC 60 kg 1080 HH 25 M long rails into 1000 M long LWR]  [IRCON/3018/DFCCIL-CT12/ e-Tender/FBW/MH/08-473 ][2023_IRCON_164706_1],IRCON International Limited||Mumbai - IRCON||DFCCIL-Mumbai - IRCON,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SFMbG8iOwq4nlvQYdVEsumQ%3D%3D
413.,17-Aug-2023 02:00 PM.,04-Oct-2023 11:00 AM,05-Oct-2023 11:30 AM,[IE Services for Construction of 4 laning Greenfield corridor from Suara (sasaram) at Ch. 0.000 to Garhani (at SH-12) at Ch 74.432 package-1 of Patna-Arrah-sasaram corridor of NH-119A in Bihar on HAM Mode.]  [NHAI/HQ/BH/ Saura-Pattar/IE/Proc/2023][2023_NHAI_164729_1],National Highways Authority of India||Head Office - NHAI||Technical - NHAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SgiGAotVwxIe21LO%2FGcmfCQ%3D%3D
414.,18-Aug-2023 09:00 AM.,31-Aug-2023 11:00 AM,01-Sep-2023 11:30 AM,[Engagement of user fee collection agency on the basis of CB through etender at Patansawangi FP in the state of Maharashtra and upkeep/maintenance of adjacent Toilet blocks including recouping the consumable items.]  [NHAI/13013/547/CO/23-24/CB/ Patansawangi][2023_NHAI_164836_1],National Highways Authority of India||Head Office - NHAI||Commercial Operation - NHAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=S7QEwpTQAoKmahjrTG6OdQg%3D%3D
415.,17-Aug-2023 02:30 PM.,24-Aug-2023 02:30 PM,25-Aug-2023 03:00 PM,"[Internal painting and other associated civil works and Electrical works for accommodating TKDL in room no. KRC-101 and KRC-102 at first floor of KRC Building, CSIR-CLRI, Adyar, Chennai-600020]  [CLRI/8(6)/2023-24/Wks][2023_CSIR_164259_1]",Council of Scientific and Industrial Research||CLRI-Chennai - CSIR||ESD-CLRI - CSIR,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SmjF3j644o%2F8EtlA5Q1U2hw%3D%3D
416.,18-Aug-2023 09:00 AM.,31-Aug-2023 11:00 AM,01-Sep-2023 11:30 AM,[Engagement of user fee collection agency on the basis of CB through etender at Nemili Sriperumpudur FP in the state of Tamil Nadu and upkeep/maintenance of adjacent Toilet blocks including recouping the consumable items.]  [NHAI/13013/547/CO/23-24/CB/ Nemili Sriperumpudur][2023_NHAI_164837_1],National Highways Authority of India||Head Office - NHAI||Commercial Operation - NHAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SlE7V5Oqn%2BiPIs%2F2LBcGdTw%3D%3D
417.,18-Aug-2023 04:30 PM.,07-Sep-2023 05:00 PM,08-Sep-2023 05:00 PM,[Renovation of Sfurti Shed at CSIR CIMAP Lucknow]  [68_066/857/2023-MP (Works)][2023_CSIR_164811_1],Council of Scientific and Industrial Research||CIMAP-Lucknow - CSIR||ESD- CIMAP - CSIR,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SijgAuFCRDgW6vipg8VkJBg%3D%3D
418.,18-Aug-2023 10:00 AM.,07-Sep-2023 05:00 PM,09-Sep-2023 09:00 AM,[Repair/Renovation of QC(MAT) section inside factory at AFK]  [GM/AFK/EO/DC/1001/2023-24][2023_MIL_164708_1],Munitions India Limited||Ammunition Factory Khadki Pune Maharashtra,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SPbA%2FjMGkVOdUuPiIt3l7zw%3D%3D
419.,18-Aug-2023 05:00 PM.,24-Aug-2023 01:00 PM,25-Aug-2023 01:05 PM,[MCD/EE-M-IV-Sh.S/23-24/12-8 ]  [MCD/EE-M-IV-Sh.S/23-24/12-8][2023_MCD_164795_1],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SPDrrrgE5SFhiEBvqQrPwzQ%3D%3D
420.,18-Aug-2023 11:00 AM.,18-Sep-2023 03:00 PM,19-Sep-2023 03:00 PM,"[Rate contract for Printing and installation of Vinyle, Flex promotional material for Lucknow Metro at Lucknow Metro Stations, Administrative building and Transport Nagar Metro Depot and other event sites as per requirement of UPMRC.]  [UPMRC/VINYLFLEX/01][2023_UPMRC_164724_1]",Uttar Pradesh Metro Rail Corporation Limited||Contract Cell - UPMRCL,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=Ss1S6pFkI81h2nZPJdlOHXQ%3D%3D
421.,17-Aug-2023 06:00 PM.,24-Aug-2023 03:00 PM,24-Aug-2023 03:05 PM,[EE(M-IV)NGZ/MCD/2023-24/23-03]  [EE(M-IV)NGZ/MCD/2023-24/23-03][2023_SDMC_164820_1],South Delhi Municipal Corporation||Municipal Engineers Office - SDMC,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SnT7xQETY4QADCUXPaAQ7Ng%3D%3D
422.,18-Aug-2023 09:00 AM.,25-Aug-2023 03:00 PM,25-Aug-2023 03:05 PM,"[Procurement of Spare items for day to day repair/maintenance of 7 No. JCB Loaders working in DEMS and Maintenance Departments of West Zone, MCD.]  [EE (AUTO)/WZ/MCD/2023-24/D-115][2023_MCD_164818_1]",Municipal Corporation of Delhi||Engineering - MCD||Electrical - MCD,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=S%2BbzP9t%2BsK8suKIXym4T6pg%3D%3D
423.,22-Aug-2023 10:00 AM.,31-Aug-2023 10:00 AM,01-Sep-2023 10:00 AM,[AMC of Staff quarters 2023 24 civil work]  [ESD/1/13/2023][2023_CSIR_164872_1],Council of Scientific and Industrial Research||IIP-Dehradun - CSIR||ESD-IIP - CSIR,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SHcIGS65S5Jvyv%2Fp%2BRIPNRQ%3D%3D
424.,18-Aug-2023 12:00 PM.,24-Aug-2023 03:00 PM,25-Aug-2023 03:00 PM,[Replacement of existing wet riser at Admin building (Riser-2) and ED building (Riser-1) in IIT Madras]  [Qn-01/2023-24/ELDB][2023_IITM_164853_1],Indian Institute of Technology Madras||Engineering Unit - IITM,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=ShF3knVyNaqF41j7dMrqecg%3D%3D
425.,18-Aug-2023 01:00 PM.,24-Aug-2023 03:00 PM,25-Aug-2023 03:00 PM,[Replacement of acoustic jacket to 3 X 120 TR Voltas chillers near Central Library AC Plant at IIT Madras]  [e-Quotation No. 01R/2023-24/ELDB][2023_IITM_164873_1],Indian Institute of Technology Madras||Engineering Unit - IITM,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SVZhjZkJbisGSQjkc7XHN%2Fw%3D%3D
426.,18-Aug-2023 04:30 PM.,07-Sep-2023 04:30 PM,08-Sep-2023 04:30 PM,"[Renovation /Replacement of old and damaged wooden door, windows with Aluminum door, windows and internal painting of Animal house basement at CSIR-CIMAP, Lucknow]  [ 68_065/856/2023-MP (Works)][2023_CSIR_164765_1]",Council of Scientific and Industrial Research||CIMAP-Lucknow - CSIR||ESD- CIMAP - CSIR,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SdY3FAmtxbiXPn5rNNud7uw%3D%3D
427.,18-Aug-2023 06:00 PM.,28-Aug-2023 03:00 PM,28-Aug-2023 03:05 PM,[Engaging of CNG MMV TATA 407 with driver and hiring 02 nos beldars for loading unloading of silt malba from road lane and various locations of ward 115 Uttam Nagar West Zone]  [NIT No 07-01 EE M WZ II WZ TC 2023 2024][2023_MCD_164857_1],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=STIY8cpAEBZZNm%2BAsk2P6Ow%3D%3D
428.,18-Aug-2023 06:00 PM.,09-Sep-2023 06:00 PM,11-Sep-2023 11:00 AM,"[GRADING, LEVELING IN EXTENDED OPERATIONAL AREA NEAR RUNWAY 25 BEGINNING and COVERING OF EXISTING OPEN DRAIN BY MS GRILL/JALI IN OPERATIONAL AREA AT D.A.B.H. AIRPORT, INDORE.]  [AAI/INDORE/CIVIL/2023-24/03][2023_AAI_164844_1]",Airports Authority of India||Western Region - AAI||INDORE - AAI||ENGG CIVIL-VAID - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SJ8%2BUprPOzl%2FgmuOPLq9vDg%3D%3D
429.,22-Aug-2023 10:00 AM.,31-Aug-2023 10:00 AM,01-Sep-2023 10:00 AM,[Renovation of Pump house no. 01 and laying of pipe line E-24 to D-9 and flushing of underground pipe line at T-1 civil Work]  [ESD/1/8/2023][2023_CSIR_164759_1],Council of Scientific and Industrial Research||IIP-Dehradun - CSIR||ESD-IIP - CSIR,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SBYjChyB3WUhCO7VSnkRwJQ%3D%3D
430.,18-Aug-2023 06:00 PM.,31-Aug-2023 03:00 PM,01-Sep-2023 03:00 PM,[Biennial Maintenance Contract for one number Articulating Boom Lift Jharli- Jhajjar (Haryana).]  [CRN-4016][2023_APCPL_164866_1],Aravali Power Company Pvt. Ltd - IGSTPP||Contract and Materials - APCPL,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SJ9sNL9N7ImQH0Y4y3yngJw%3D%3D
431.,18-Aug-2023 06:00 PM.,28-Aug-2023 04:00 PM,30-Aug-2023 03:30 PM,[EI works 4G Mini DC in MSC Room 2nd Floor NTB]  [36/2023-2024/BSNL/ED-II/ BGL][2023_BSNL_164855_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Karnataka Telecom Circle||CE (Electrical) Bengaluru,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=Sf6Xw3ao7ARP%2BXtLIPHm8lg%3D%3D
432.,18-Aug-2023 05:00 PM.,29-Aug-2023 03:00 PM,31-Aug-2023 03:30 PM,"[Servicing of 15 20 KVA Capacity working DG sets of different Exchanges BTS sites of Bhanupratappur, anker, Kondagaon and Narayanpur SDCA under Bastar BA Jagdalpur]  [29/EEE/BSNL/RYP/ 2023-24][2023_BSNL_164850_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Chhattisgarh Telecom Circle- Raipur||SE Electrical,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SDZBue103P59h%2FyhAq3eXSg%3D%3D
433.,18-Aug-2023 04:30 PM.,28-Aug-2023 06:00 PM,30-Aug-2023 03:00 PM,[Replacement of corroded GI sheet roofing and truss work at TE building Teressa]  [14/NIT/CD-PB/AN/2023-24][2023_BSNL_164914_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Andaman and Nicobar Telecom Circle||EE (CIVIL),https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=Ss2TJUbj4w8cN1AmX3H%2BDRA%3D%3D
434.,18-Aug-2023 05:30 PM.,24-Aug-2023 09:00 AM,25-Aug-2023 09:15 AM,"[Supplying and stacking of material for day to day maintenance work at JE store Ward No. 36, Nilothi, M-II, NZ ]  [MCD/TR/5152/2023_5_1_1/1][2023_MCD_164926_1]",Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=Sc2IPdIEuHPBLHnH6jHcuwA%3D%3D
435.,18-Aug-2023 02:30 PM.,25-Aug-2023 02:45 PM,28-Aug-2023 10:00 AM,[Provision of electrification work in plant house utility bldg for RK-101 and RK-102 inside factory at O. F. Bhandara.]  [No.EO/51/ND2323/BF][2023_MIL_164863_1],Munitions India Limited||Ordnance Factory Bhandara Bhandara Maharashtra,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SYljELAfbKoFOTfCTNXMJeA%3D%3D
436.,18-Aug-2023 06:00 PM.,24-Aug-2023 12:00 PM,25-Aug-2023 12:30 PM,[ EE(E)-I/Sh.N/MCD/23-24/TC-28/1]  [ EE(E)-I/Sh.N/MCD/23-24/TC-28/1][2023_MCD_164924_1],Municipal Corporation of Delhi||Engineering - MCD||Electrical - MCD,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SrX7oCwWmEgxr%2BLe1nq1Q3w%3D%3D
